pokedex_number;name;generation;type1;type2;color;evolving_stade;hp;atk;def;sp_atk;sp_def;spd;base_stats;is_legendary;capt_rate;exp_growth;egg_steps;height;weight;base_happiness;classif;percentage_male;against_bug;against_dark;against_dragon;against_electric;against_fairy;against_fight;against_fire;against_flying;against_ghost;against_grass;against_ground;against_ice;against_normal;against_poison;against_psychic;against_rock;against_steel;against_water
1;Bulbasaur;1;grass;poison;Green;1;45;49;49;65;65;45;318;0;45;1059860;5120;0.71;6.9;70;Seed Pokémon;88.1;1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5
2;Ivysaur;1;grass;poison;Green;2;60;62;63;80;80;60;405;0;45;1059860;5120;0.99;13.0;70;Seed Pokémon;88.1;1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5
3;Venusaur;1;grass;poison;Green;3;80;100;123;122;120;80;625;0;45;1059860;5120;2.01;100.0;70;Seed Pokémon;88.1;1;1;1;0.5;0.5;0.5;2;2;1;0.25;1;2;1;1;2;1;1;0.5
4;Charmander;1;fire;;Red;1;39;52;43;60;50;65;309;0;45;1059860;5120;0.61;8.5;70;Lizard Pokémon;88.1;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2
5;Charmeleon;1;fire;;Red;2;58;64;58;80;65;80;405;0;45;1059860;5120;1.09;19.0;70;Flame Pokémon;88.1;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2
6;Charizard;1;fire;flying;Red;3;78;104;78;159;115;100;634;0;45;1059860;5120;1.70;90.5;70;Flame Pokémon;88.1;0.25;1;1;2;0.5;0.5;0.5;1;1;0.25;0;1;1;1;1;4;0.5;2
7;Squirtle;1;water;;Blue;1;44;48;65;50;64;43;314;0;45;1059860;5120;0.51;9.0;70;Tiny Turtle Pokémon;88.1;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5
8;Wartortle;1;water;;Blue;2;59;63;80;65;80;58;405;0;45;1059860;5120;0.99;22.5;70;Turtle Pokémon;88.1;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5
9;Blastoise;1;water;;Blue;3;79;103;120;135;115;78;630;0;45;1059860;5120;1.60;85.5;70;Shellfish Pokémon;88.1;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5
10;Caterpie;1;bug;;Green;1;45;30;35;20;20;45;195;0;255;1000000;3840;0.30;2.9;70;Worm Pokémon;50;1;1;1;1;1;0.5;2;2;1;0.5;0.5;1;1;1;1;2;1;1
11;Metapod;1;bug;;Green;2;50;20;55;25;25;30;205;0;120;1000000;3840;0.71;9.9;70;Cocoon Pokémon;50;1;1;1;1;1;0.5;2;2;1;0.5;0.5;1;1;1;1;2;1;1
12;Butterfree;1;bug;flying;White;3;60;45;50;90;80;70;395;0;45;1000000;3840;1.09;32.0;70;Butterfly Pokémon;50;0.5;1;1;2;1;0.25;2;2;1;0.25;0;2;1;1;1;4;1;1
13;Weedle;1;bug;poison;Brown;1;40;35;30;20;20;50;195;0;255;1000000;3840;0.30;3.2;70;Hairy Pokémon;50;0.5;1;1;1;0.5;0.25;2;2;1;0.25;1;1;1;0.5;2;2;1;1
14;Kakuna;1;bug;poison;Yellow;2;45;25;50;25;25;35;205;0;120;1000000;3840;0.61;10.0;70;Cocoon Pokémon;50;0.5;1;1;1;0.5;0.25;2;2;1;0.25;1;1;1;0.5;2;2;1;1
15;Beedrill;1;bug;poison;Yellow;3;65;150;40;15;80;145;495;0;45;1000000;3840;0.99;29.5;70;Poison Bee Pokémon;50;0.5;1;1;1;0.5;0.25;2;2;1;0.25;1;1;1;0.5;2;2;1;1
16;Pidgey;1;normal;flying;Brown;1;40;45;40;35;35;56;251;0;255;1059860;3840;0.30;1.8;70;Tiny Bird Pokémon;50;0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1
17;Pidgeotto;1;normal;flying;Brown;2;63;60;55;50;50;71;349;0;120;1059860;3840;1.09;30.0;70;Bird Pokémon;50;0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1
18;Pidgeot;1;normal;flying;Brown;3;83;80;80;135;80;121;579;0;45;1059860;3840;1.50;39.5;70;Bird Pokémon;50;0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1
19;Rattata;1;normal;;Purple;1;30;56;35;25;35;72;253;0;255;1000000;3840;0.30;3.5;70;Mouse Pokémon;50;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1
19;Rattata-Alola;7;dark;normal;Black;1;30;56;35;25;35;72;253;0;255;1000000;3840;0.30;3.8;70;Mouse Pokémon;50;1;0.5;1;1;2;4;1;1;0.5;1;1;1;1;1;0;1;1;1
20;Raticate;1;normal;dark;Brown;3;75;71;70;40;80;77;413;0;127;1000000;3840;0.71;18.5;70;Mouse Pokémon;50;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1
20;Raticate-Alola;7;dark;normal;Black;3;75;71;70;40;80;77;253;0;255;1000000;3840;0.7;25.5;70;Mouse Pokémon;50;1;0.5;1;1;2;4;1;1;0.5;1;1;1;1;1;0;1;1;1
21;Spearow;1;normal;flying;Brown;1;40;60;30;31;31;70;262;0;255;1000000;3840;0.30;2.0;70;Tiny Bird Pokémon;50;0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1
22;Fearow;1;normal;flying;Brown;3;65;90;65;61;61;100;442;0;90;1000000;3840;1.19;38.0;70;Beak Pokémon;50;0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1
23;Ekans;1;poison;;Purple;1;35;60;44;40;54;55;288;0;255;1000000;5120;2.01;6.9;70;Snake Pokémon;50;0.5;1;1;1;0.5;0.5;1;1;1;0.5;2;1;1;0.5;2;1;1;1
24;Arbok;1;poison;;Purple;3;60;95;69;65;79;80;448;0;90;1000000;5120;3.51;65.0;70;Cobra Pokémon;50;0.5;1;1;1;0.5;0.5;1;1;1;0.5;2;1;1;0.5;2;1;1;1
25;Pikachu;1;electric;;Yellow;1;35;55;40;50;50;90;320;0;190;1000000;2560;0.41;6.0;70;Mouse Pokémon;50;1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1
26;Raichu;1;electric;;Yellow;3;60;85;50;95;85;110;485;0;75;1000000;2560;0.79;30.0;70;Mouse Pokémon;50;1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1
26;Raichu-Alola;7;electric;psychic;Brown;3;60;85;50;95;85;110;485;0;75;1000000;2560;0.7;21.0;70;Mouse Pokémon;50;2;2;1;0.5;1;0.5;1;0.5;2;1;2;1;1;1;0.5;1;0.5;1
27;Sandshrew;1;ground;;Yellow;1;50;75;90;10;35;40;300;0;255;1000000;5120;0.61;12.0;70;Mouse Pokémon;50;1;1;1;0;1;1;1;1;1;2;1;2;1;0.5;1;0.5;1;2
27;Sandshrew-Alola;7;ice;steel;Blue;1;50;75;90;10;35;40;300;0;255;1000000;5120;0.7;40.0;70;Mouse Pokémon;50;0.5;1;0.5;1;0.5;4;4;0.5;1;0.5;2;0.25;0.5;0;0.5;1;1;1
28;Sandslash;1;ground;;Yellow;3;75;100;120;25;65;65;450;0;90;1000000;5120;0.99;29.5;70;Mouse Pokémon;50;1;1;1;0;1;1;1;1;1;2;1;2;1;0.5;1;0.5;1;2
27;Sandshrew-Alola;7;ice;steel;Blue;1;50;75;90;10;35;40;300;0;255;1000000;5120;0.7;40.0;70;Mouse Pokémon;50;0.5;1;0.5;1;0.5;4;4;0.5;1;0.5;2;0.25;0.5;0;0.5;1;1;1
29;Nidoran♀;1;poison;;Blue;1;55;47;52;40;40;41;275;0;235;1059860;5120;0.41;7.0;70;Poison Pin Pokémon;0;0.5;1;1;1;0.5;0.5;1;1;1;0.5;2;1;1;0.5;2;1;1;1
30;Nidorina;1;poison;;Blue;2;70;62;67;55;55;56;365;0;120;1059860;5120;0.79;20.0;70;Poison Pin Pokémon;0;0.5;1;1;1;0.5;0.5;1;1;1;0.5;2;1;1;0.5;2;1;1;1
31;Nidoqueen;1;poison;ground;Blue;3;90;92;87;75;85;76;505;0;45;1059860;5120;1.30;60.0;70;Drill Pokémon;0;0.5;1;1;0;0.5;0.5;1;1;1;1;2;2;1;0.25;2;0.5;1;2
32;Nidoran♂;1;poison;;Purple;1;46;57;40;40;40;50;273;0;235;1059860;5120;0.51;9.0;70;Poison Pin Pokémon;100;0.5;1;1;1;0.5;0.5;1;1;1;0.5;2;1;1;0.5;2;1;1;1
33;Nidorino;1;poison;;Purple;2;61;72;57;55;55;65;365;0;120;1059860;5120;0.89;19.5;70;Poison Pin Pokémon;100;0.5;1;1;1;0.5;0.5;1;1;1;0.5;2;1;1;0.5;2;1;1;1
